name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
many_isl&low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,10,5,10,1000,1000
many_isl&high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,10,5,10,1000,1000
many_isl&low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.05,10,5,10,1000,1000
many_isl&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.2,10,5,10,1000,1000
many_isl&low_clado_l&high_ext_l,0.001,0.1,0.1,0.1,0.2,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_clado_g&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.2,10,5,10,1000,1000
many_isl&low_clado_l&_g&high_ext_l&_g,0.001,0.1,0.1,0.1,0.2,0.1,0.1,0.2,10,5,10,1000,1000
high_K&standard,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_mig,0.001,0.01,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_mig,0.001,1,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&extreme_mig,0.001,100,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_mig&high_ana_l,0.001,0.01,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_mig&high_ana_l,0.001,1,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&extreme_mig&high_ana_l,0.001,100,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&only_local,0.001,0.1,0.2,0.1,0.1,0,0,0,50,2,10,1000,1000
high_K&only_global,0.001,0.1,0,0,0,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_l,0.001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_clado_l,0.001,0.1,0.4,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,50,2,10,1000,1000
high_K&high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,50,2,10,1000,1000
high_K&low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.05,50,2,10,1000,1000
high_K&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.2,50,2,10,1000,1000
high_K&low_clado_l&high_ext_l,0.001,0.1,0.1,0.1,0.2,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_g&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.2,50,2,10,1000,1000
high_K&low_clado_l&_g&high_ext_l&_g,0.001,0.1,0.1,0.1,0.2,0.1,0.1,0.2,50,2,10,1000,1000
