name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
many_isl&low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,10,5,10,1000,1000
many_isl&high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,10,5,10,1000,1000
many_isl&low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.05,10,5,10,1000,1000
many_isl&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.2,10,5,10,1000,1000
many_isl&low_clado_l&high_ext_l,0.001,0.1,0.1,0.1,0.2,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_clado_g&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.2,10,5,10,1000,1000
many_isl&low_clado_l&_g&high_ext_l&_g,0.001,0.1,0.1,0.1,0.2,0.1,0.1,0.2,10,5,10,1000,1000
high_K&standard,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_mig,0.001,0.01,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_mig,0.001,1,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&extreme_mig,0.001,100,0.2,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_mig&high_ana_l,0.001,0.01,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_mig&high_ana_l,0.001,1,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&extreme_mig&high_ana_l,0.001,100,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&only_local,0.001,0.1,0.2,0.1,0.1,0,0,0,50,2,10,1000,1000
high_K&only_global,0.001,0.1,0,0,0,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_l,0.001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_clado_l,0.001,0.1,0.4,0.1,0.1,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,50,2,10,1000,1000
high_K&high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,50,2,10,1000,1000
high_K&low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,50,2,10,1000,1000
high_K&high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.05,50,2,10,1000,1000
high_K&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.2,50,2,10,1000,1000
high_K&low_clado_l&high_ext_l,0.001,0.1,0.1,0.1,0.2,0.2,0.1,0.1,50,2,10,1000,1000
high_K&low_clado_g&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.2,50,2,10,1000,1000
high_K&low_clado_l&_g&high_ext_l&_g,0.001,0.1,0.1,0.1,0.2,0.1,0.1,0.2,50,2,10,1000,1000
high_ana_l,0.001,0.1,0.2,0.5,0.1,0.2,0.1,0.1,10,2,10,1000,1000
many_isl&high_ana_l,0.001,0.1,0.2,0.5,0.1,0.2,0.1,0.1,10,5,10,1000,1000
high_K&high_ana_l,0.001,0.1,0.2,0.5,0.1,0.2,0.1,0.1,50,2,10,1000,1000
only_local&low_mig,0.001,0.01,0.2,0.1,0.1,0.0,0.0,0.0,10,2,10,1000,1000
only_local&high_mig,0.001,1,0.2,0.1,0.1,0.0,0.0,0.0,10,2,10,1000,1000
only_local&extreme_mig,0.001,100,0.2,0.1,0.1,0.0,0.0,0.0,10,2,10,1000,1000
only_global&low_mig,0.001,0.01,0.0,0.0,0.0,0.2,0.1,0.1,10,2,10,1000,1000
only_global&high_mig,0.001,1,0.0,0.0,0.0,0.2,0.1,0.1,10,2,10,1000,1000
only_global&extreme_mig,0.001,100,0.0,0.0,0.0,0.2,0.1,0.1,10,2,10,1000,1000
double_global,0.001,0.1,0.2,0.1,0.1,0.4,0.2,0.2,10,2,10,1000,1000
double_global&low_mig,0.001,0.01,0.2,0.1,0.1,0.4,0.2,0.2,10,2,10,1000,1000
double_global&high_mig,0.001,1,0.2,0.1,0.1,0.4,0.2,0.2,10,2,10,1000,1000
double_only_global&low_mig,0.001,0.01,0.0,0.0,0.0,0.4,0.2,0.2,10,2,10,1000,1000
double_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.4,0.2,0.2,10,2,10,1000,1000
double_only_global&extreme_mig,0.001,100,0.0,0.0,0.0,0.4,0.2,0.2,10,2,10,1000,1000
triple_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.6,0.3,0.3,10,2,10,1000,1000
quadruple_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.8,0.4,0.4,10,2,10,1000,1000
many_isl&double_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.4,0.2,0.2,10,5,10,1000,1000
many_isl&triple_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.6,0.3,0.3,10,5,10,1000,1000
many_isl&quadruple_only_global&high_mig,0.001,1,0.0,0.0,0.0,0.8,0.4,0.4,10,5,10,1000,1000
higher_mig,0.001,0.3,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
many_isl&higher_mig,0.001,0.3,0.2,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
lower_immi,0.0005,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
low_immi,0.0001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
lower_immi&only_global,0.0005,0.1,0.0,0.0,0.0,0.2,0.1,0.1,10,2,10,1000,1000
low_immi&only_global,0.0001,0.1,0.0,0.0,0.0,0.2,0.1,0.1,10,2,10,1000,1000
double_only_global,0.001,0.1,0.0,0.0,0.0,0.4,0.2,0.2,10,2,10,1000,1000
triple_only_global,0.001,0.1,0.0,0.0,0.0,0.6,0.3,0.3,10,2,10,1000,1000
1_isl,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,1,10,1000,1000
1_isl&only_local&0_mig,0.001,0.0,0.2,0.1,0.1,0.0,0.0,0.0,10,1,10,1000,1000
1_isl&only_global&0_mig,0.001,0.0,0.0,0.0,0.0,0.2,0.1,0.1,10,1,10,1000,1000
1_isl&only_local,0.001,0.1,0.2,0.1,0.1,0.0,0.0,0.0,10,1,10,1000,1000
1_isl&only_global,0.001,0.1,0.0,0.0,0.0,0.2,0.1,0.1,10,1,10,1000,1000
